"","ID","Date","Unit","year","month","INJ","takeover.date","time.since.takeover","Sex","DOB","Age","to_yn","agebin","AgeCat","Percent","DEA","DINJ"
"1","AAR",2017-09-01,"A","2017"," 9","0",NA,NA,"F",2017-04-15,0.380300957592339,"N","0-1 yr","I",0.310344827586207,"0",0
"2","ABA",2016-03-01,"A","2016"," 3","0",NA,NA,"F",2015-11-26,0.26265389876881,"N","0-1 yr","I",0.310344827586207,"0",0
"3","ABA",2016-04-01,"A","2016"," 4","0",2016-04-01,0,"F",2015-11-26,0.347469220246238,"Y","0-1 yr","I",0.310344827586207,"0",0
"4","ABU",2010-10-01,"A","2010","10","0",NA,NA,"F",2010-09-05,0.0711354309165527,"N","0-1 yr","I",0.310344827586207,"0",0
"5","ABU",2010-11-01,"A","2010","11","0",NA,NA,"F",2010-09-05,0.155950752393981,"N","0-1 yr","I",0.310344827586207,"0",0
"6","ABU",2010-12-01,"A","2010","12","0",NA,NA,"F",2010-09-05,0.238030095759234,"N","0-1 yr","I",0.310344827586207,"0",0
"7","ABU",2011-03-01,"A","2011"," 3","0",NA,NA,"F",2010-09-05,0.484268125854993,"N","0-1 yr","I",0.310344827586207,"0",0
"8","ABU",2011-04-01,"A","2011"," 4","0",NA,NA,"F",2010-09-05,0.569083447332421,"N","0-1 yr","I",0.310344827586207,"0",0
"9","ABU",2011-07-01,"A","2011"," 7","0",NA,NA,"F",2010-09-05,0.818057455540356,"N","0-1 yr","I",0.310344827586207,"0",0
"10","ABU",2011-09-01,"A","2011"," 9","0",NA,NA,"F",2010-09-05,0.987688098495212,"N","0-1 yr","I",0.310344827586207,"0",0
"11","ABU",2011-10-01,"A","2011","10","0",NA,NA,"F",2010-09-05,1.06976744186047,"N","1-2 yr","I",0.310344827586207,"0",0
"12","ABU",2011-11-01,"A","2011","11","0",NA,NA,"F",2010-09-05,1.15458276333789,"N","1-2 yr","I",0.310344827586207,"0",0
"13","ABU",2011-12-01,"A","2011","12","0",NA,NA,"F",2010-09-05,1.23666210670315,"N","1-2 yr","I",0.310344827586207,"0",0
"14","ABU",2012-01-01,"A","2012"," 1","0",NA,NA,"F",2010-09-05,1.32147742818057,"N","1-2 yr","I",0.310344827586207,"0",0
"15","ABU",2012-04-01,"A","2012"," 4","0",NA,NA,"F",2010-09-05,1.57045143638851,"N","1-2 yr","J",0.569925471284524,"0",0
"16","ABU",2012-05-01,"A","2012"," 5","0",NA,NA,"F",2010-09-05,1.65253077975376,"N","1-2 yr","J",0.569925471284524,"0",0
"17","ABU",2012-06-01,"A","2012"," 6","0",NA,NA,"F",2010-09-05,1.73734610123119,"N","1-2 yr","J",0.569925471284524,"0",0
"18","ABU",2012-07-01,"A","2012"," 7","0",NA,NA,"F",2010-09-05,1.81942544459644,"N","1-2 yr","J",0.569925471284524,"0",0
"19","ABU",2012-08-01,"A","2012"," 8","1",NA,NA,"F",2010-09-05,1.90424076607387,"N","1-2 yr","J",0.569925471284524,"0",1
"20","ABU",2012-09-01,"A","2012"," 9","0",NA,NA,"F",2010-09-05,1.9890560875513,"N","1-2 yr","J",0.569925471284524,"0",0
"21","ABU",2012-10-01,"A","2012","10","0",NA,NA,"F",2010-09-05,2.07113543091655,"N","2-3 yr","J",0.569925471284524,"0",0
"22","ABU",2012-11-01,"A","2012","11","0",NA,NA,"F",2010-09-05,2.15595075239398,"N","2-3 yr","J",0.569925471284524,"0",0
"23","ABU",2012-12-01,"A","2012","12","0",NA,NA,"F",2010-09-05,2.23803009575923,"N","2-3 yr","J",0.569925471284524,"0",0
"24","ABU",2013-01-01,"A","2013"," 1","0",NA,NA,"F",2010-09-05,2.32284541723666,"N","2-3 yr","J",0.569925471284524,"0",0
"25","ABU",2013-02-01,"A","2013"," 2","0",NA,NA,"F",2010-09-05,2.40766073871409,"N","2-3 yr","J",0.569925471284524,"0",0
"26","ACH",2016-03-01,"A","2016"," 3","0",NA,NA,"F",2015-11-11,0.303693570451436,"N","0-1 yr","I",0.310344827586207,"0",0
"27","ACH",2016-04-01,"A","2016"," 4","0",2016-04-01,0,"F",2015-11-11,0.388508891928865,"Y","0-1 yr","I",0.310344827586207,"0",0
"28","ACH",2016-05-01,"A","2016"," 5","0",2016-04-01,4.28571428571429,"F",2015-11-11,0.470588235294118,"Y","0-1 yr","I",0.310344827586207,"0",0
